Country,HCI,EDU,HEALTH,SANI,DEBT,GDP,PNEMO,DIARE
Algeria,0.52,7.344359875,6.60749578,18.5234729,5462929064,3946.45245,1017,10.71404558
Ecuador,0.6,4.362750053,7.27991486,41.8039426,35378111194,6060.09296,745,17.30843465
"Egypt, Arab Rep.",0.49,,5.36399841,63.7198589,69163941957,3519.87324,,
Spain,0.74,4.227640152,8.9523859,95.6660969,,26523.3482,27,0.562942379
Estonia,0.75,5.114459991,6.42956781,92.8895483,,18295.3429,4,0.458031006
Ethiopia,0.39,5.061510086,3.60033059,5.86648906,23396100284,717.12487,23908,249.533538
Finland,0.81,6.851530075,9.37796021,84.0998756,,43814.0265,1,0.267809407
France,0.77,,11.4716368,78.6800215,,37062.5336,38,0.850370016
Gabon,0.45,2.769999981,3.10769749,,5336059264,6984.41971,99,116.2604623
United Kingdom,0.78,5.418940067,9.87313271,98.0402869,,41499.5557,110,0.359496636
Georgia,0.61,3.593869925,7.99670744,36.4944438,16320114022,4062.16989,45,3.76950397
Ghana,0.44,4.528840065,3.46157742,11.4714583,21058602292,1971.95693,4760,101.1716097
Guinea,0.37,2.544500113,5.39708233,,2217811579,732.291512,8481,219.1235045
"Gambia, The",0.4,2.024430037,3.68266177,31.4045562,527088062,690.780493,,
Greece,0.68,,8.32109451,88.6157321,,17923.9668,18,0.141019726
Guatemala,0.46,2.944740057,6.07008219,,21129829604,4173.30167,2841,99.93737179
Guyana,0.5,4.737750053,4.01842117,,1643860201,5811.39792,29,49.4469573
"Hong Kong SAR, China",0.82,3.292649984,,85.9658004,,43731.1068,,
Honduras,0.49,5.159619808,7.69098616,48.1578315,7614296900,2326.29728,280,70.69262083
Croatia,0.72,,6.82921791,72.9769308,,12527.7399,3,0.692641046
Haiti,0.45,1.422749996,4.90023947,,2167818423,1290.38051,3639,272.3482495
Hungary,0.7,4.620490074,6.99535179,86.093358,,13107.3779,21,0.614903847
Indonesia,0.54,3.5,3.02147222,,3.18942E+11,3562.81633,11377,90.54261605
India,0.44,3.450979948,3.50430417,37.7939739,4.55502E+11,1732.55424,164659,132.6309267
Ireland,0.81,3.731739998,7.4248991,80.9958988,,62861.6391,3,0.600291223
"Iran, Islamic Rep.",0.59,3.365760088,8.57090187,,6058410416,5253.42656,,
Iraq,0.4,,3.492342,41.7197168,,4550.65864,1367,35.4604871
Iceland,0.74,7.432199955,8.09714699,76.3921889,,61987.9264,0,0.355860145
Israel,0.76,5.863269806,7.17326927,91.9352007,,37330.2618,16,0.848088138
Italy,0.77,3.815789938,8.72533035,95.7541784,,30960.7315,29,0.320519785
Jamaica,0.54,5.314610004,5.70086861,,14127210395,4843.7499,22,4.079510687
Jordan,0.56,3.452820063,7.15642214,81.4846837,27110465348,4175.3566,333,4.103380291
Japan,0.84,,10.6589165,79.8354148,,39400.7394,140,0.852965043
Kazakhstan,0.75,2.978100061,3.42235565,,1.63488E+11,7714.84184,666,7.522631783
Kenya,0.52,5.362669945,5.14090776,,21037318124,1525.23519,7548,261.8012178
Kyrgyz Republic,0.58,6.586150169,6.41248226,91.8463228,7972109924,1120.66651,,
Cambodia,0.49,,6.11648464,,10059535400,1269.5915,4143,46.61631335
Kiribati,0.48,10.09358978,9.32036781,25.3132329,,1584.73802,8,93.68164925
"Korea, Rep.",0.85,4.333099842,6.91432714,96.5161621,,29288.8704,,
Kuwait,0.58,5.847710133,4.73096323,100,,27653.1576,35,1.834892908
Lao PDR,0.45,,2.36087489,56.0063144,13535138629,2324.40092,,
Lebanon,0.54,2.123929977,7.914958,15.3328012,69509159842,7653.73363,52,4.732416872
Liberia,0.32,2.14812994,9.85343266,,952648609.9,740.914906,741,475.2689639
Sri Lanka,0.58,3.449199915,3.86425042,,46661458616,3886.2915,162,3.499915608
Lesotho,0.37,7.760749817,8.75972462,40.2744878,921472674.5,1018.93109,550,238.4596658
Lithuania,0.71,4.004310131,6.63746214,92.2959961,,15008.3132,12,0.678848203
Luxembourg,0.69,,5.19496346,96.2553682,,106899.294,0,0.913483339
Latvia,0.72,4.659530163,6.13591957,74.2663322,,14331.7516,6,0.709634571
"Macao SAR, China",0.76,3.098540068,,62.2579701,,73545.7582,,
Morocco,0.5,,5.23985195,38.059098,47614177158,2896.7222,1427,74.17656441
Moldova,0.58,5.608449936,7.53552246,,6222242082,2880.43928,87,4.086897194
Madagascar,0.37,2.687190056,5.25697422,9.07777163,2975696861,475.955557,6752,494.6679625
Mexico,0.61,4.90681982,5.55345869,47.6954101,4.24268E+11,8744.51556,3217,16.97818836
North Macedonia,0.53,,6.37943363,12.4083564,7512963880,5149.58907,18,3.052503676
Mali,0.32,3.094779968,3.77377391,17.1141387,3781657118,780.72357,12162,334.5659303
Malta,0.7,5.084459782,8.94369507,91.8679747,,25741.4461,1,0.352384404
Myanmar,0.47,1.899999976,5.11349964,60.8950592,10106905265,1136.61067,8791,95.51294603
Montenegro,0.62,,8.63302994,42.0339798,6220223867,7028.93658,2,0.61949119
Mongolia,0.63,5.18061018,4.42355633,50.0104296,24612081479,3658.3903,333,23.66324033
Mozambique,0.36,5.865039825,7.17241096,,14205408237,428.926673,7638,199.5275612
Mauritania,0.35,1.944059968,3.09649324,,5080228848,1536.85489,618,355.8089786
Mauritius,0.63,5.013599873,5.70678568,,10464134314,9681.61857,9,7.722411166
Malawi,0.41,4.748569965,10.8796663,23.2014092,1847005075,315.777987,5020,214.2773251
Malaysia,0.62,4.751920223,3.68569684,74.2848702,,9817.78709,234,3.064378302
Namibia,0.44,10.65202999,9.3223238,,,4546.98669,300,98.70183973
Niger,0.32,2.970959902,4.53239059,14.5976705,2529185629,500.214911,18946,727.5267472
Nigeria,0.34,,3.64773679,28.171198,35717779489,2176.00277,149927,668.6183332
Nicaragua,0.53,4.081140041,8.04877567,,11035455283,2107.57406,407,30.0288967
Netherlands,0.8,5.479599953,10.2942524,97.4867093,,46039.1059,9,0.385283256
Norway,0.77,8.030550003,10.5912952,63.9963724,,70460.5605,2,0.323048189
Nepal,0.49,3.903209925,5.42379808,38.9681496,4297388214,899.523581,4644,82.63559499
New Zealand,0.77,6.411789894,9.23865223,81.264409,,40080.4941,8,1.122731531
Oman,0.62,,4.35671568,,,16772.7392,49,2.727190416
Pakistan,0.39,3.002919912,2.89286923,,75039343005,1368.42696,55964,189.8016858
Panama,0.53,2.846080065,7.32181311,,89440297343,14343.9803,161,32.07807607
Peru,0.59,3.813169956,4.97274113,43.012301,69612783914,6204.99646,1442,16.89152577
Philippines,0.55,3.569999933,3.95484376,55.9297293,74742411561,3073.65469,11677,46.03081637
Papua New Guinea,0.38,,2.33063054,,19247283289,2509.62964,4897,155.6242905
Poland,0.75,4.633399963,6.53473806,89.7468097,,12447.4396,86,0.526981452
Portugal,0.78,,9.39439583,80.5111933,,19991.9725,14,1.01924726
Paraguay,0.53,,6.68209553,57.3829395,16227686956,5324.60907,160,20.33836031
West Bank and Gaza,0.55,4.982960224,,60.5341501,,3527.61382,,
Qatar,0.62,,3.24747443,94.3,,57162.968,6,2.144003886
Romania,0.6,2.979890108,5.00346899,74.9882706,96117936188,9548.5874,434,3.076902665
Russian Federation,0.73,3.760440111,5.28970242,59.8968522,5.29275E+11,8704.89841,,
Rwanda,0.37,3.436729908,6.92619371,,4318716828,744.760749,2571,208.0186929
Saudi Arabia,0.59,,5.83562946,54.2445829,,19878.7638,58,4.446212318
Sudan,0.38,,5.48409986,,21091694447,1069.83996,3947,284.1601785
Senegal,0.42,5.113090038,4.26078129,21.6630053,7534426006,1269.90329,3175,237.60948
Singapore,0.88,2.874830008,4.39192295,100,,56848.1754,12,0.365227959
Solomon Islands,0.44,,4.51225424,,263838572.3,2225.48684,108,77.86442731
Sierra Leone,0.35,3.060230017,16.5259552,12.9803448,1627108062,501.415166,4703,175.5059991
El Salvador,0.5,3.825239897,7.70530415,,16566778004,3805.99569,150,20.43434573
Serbia,0.76,3.63470006,8.4589138,18.467981,28326797868,5765.20076,18,0.495524977
South Sudan,0.3,1.543900013,,,,,6622,305.051159
Slovak Republic,0.69,3.911070108,7.11029387,82.2205951,,16512.293,,
Slovenia,0.79,4.792669773,8.4630394,65.2104522,,21678.3595,1,0.311120591
Sweden,0.8,7.618619919,10.8524036,94.6704232,,51965.1572,6,0.399085632
Eswatini,0.41,5.414669991,6.82044792,,499435854.2,3425.53196,272,227.2863958
Seychelles,0.68,4.421020031,5.18561649,,,15068.6203,2,4.343974047
Chad,0.29,2.299999952,5.05077505,9.48469886,2867303801,693.449767,13797,1030.029386
Togo,0.41,3.686490059,5.35245514,8.51642701,1216414988,803.151893,1708,628.3437881
Thailand,0.6,3.637520075,3.7540946,24.6027045,1.3922E+11,5993.30552,533,5.637564087
Tajikistan,0.53,5.763679981,7.00427723,,5181124719,807.102586,2239,113.9077672
Timor-Leste,0.43,8.078430176,6.89625216,,80907571.1,1353.75493,,
Tonga,0.51,,5.04334545,34.9742752,174411669.5,4157.87725,4,3.505027898
Trinidad and Tobago,0.61,3.971920013,6.83270836,,,16250.6287,14,6.498411286
Tunisia,0.51,7.32434988,6.60998964,75.8491085,28827327849,3924.36335,128,2.572980322
Turkey,0.63,,4.28469229,75.3295048,4.09421E+11,10894.6034,774,6.248342573
Tuvalu,0.55,,15.6099644,6.15413118,,3253.89954,0,10.19181052
Tanzania,0.4,4.101970196,3.9635036,23.1059338,19435911411,966.503017,21266,94.42589083
Uganda,0.38,2.147109985,4.9682045,,10086179673,736.559847,10091,107.3304768
Ukraine,0.65,5.00977993,7.54540205,67.2589313,1.15004E+11,2187.73051,256,1.067911883
Uruguay,0.6,4.380859852,8.67533779,,,16715.6335,28,4.828452473
United States,0.76,,16.8443241,98.311762,,58021.4005,601,0.35669833
Vietnam,0.67,4.344810009,4.51853609,,85664366987,2192.17448,3187,3.892405103
Vanuatu,0.47,,2.93130064,,293420900.7,2805.66532,33,46.94488092
Kosovo,0.56,,,,2124776280,3759.56025,,
"Yemen, Rep.",0.37,,,17.7245363,7062871731,1152.72097,,
South Africa,0.41,5.942850113,8.82142925,,1.43967E+11,5756.96574,4634,148.3283366
Zambia,0.4,3.747920036,4.47720718,,15220653707,1280.80654,4326,253.2712248
Zimbabwe,0.44,5.47262001,7.67516281,26.877909,11464935181,1464.58896,5023,196.2494816
Afghanistan,0.39348924,3.373310089,12.6208172,,2751986639,516.679862,14956,80.96308013
Angola,0.36019096,2.466880083,2.79150295,,59175902494,4095.81006,6424,178.8961074
Albania,0.62866628,3.611720085,5.01263571,47.0522899,9801454504,4531.01937,75,0.974204818
United Arab Emirates,0.67600125,,4.05959463,95.8778013,,40644.7912,7,0.7111988
Argentina,0.61736673,5.454319954,10.442255,,2.25925E+11,14613.0418,490,3.3961808
Armenia,0.58172596,2.707590103,10.3627052,64.6147907,10228295739,3914.52785,119,3.482469375
Antigua and Barbuda,0.57821697,2.448479891,4.87493944,,,15383.5764,1,4.560818391
Australia,0.78083396,5.127900124,9.26682281,71.3587568,,53934.2502,30,0.311531329
Austria,0.76867312,5.371890068,10.3846054,99.6375941,,47429.1585,5,0.474721492
Azerbaijan,0.62931216,2.473819971,3.73651457,22.787964,15300924032,4147.08972,1552,12.34645494
Burundi,0.3895748,4.762020111,7.90301847,,606820362.7,253.826354,2495,281.4156953
Belgium,0.76275975,6.425340176,10.7831259,86.1781663,,44198.4824,9,0.669157883
Benin,0.39695033,3.535589933,2.61910868,,2794440257,1136.59387,5983,170.1310425
Burkina Faso,0.37828398,5.628469944,6.02940798,,3166766916,734.996268,16823,258.4615402
Bangladesh,0.45855328,,2.43180156,35.6855658,46819123465,1563.76782,15048,15.71738082
Bulgaria,0.67027724,4.091020107,7.5206337,66.7930493,40989144704,8366.29322,73,2.279673348
Bahrain,0.66389877,2.324520111,4.74279165,88.8068552,,23742.9373,3,1.148688744
Bosnia and Herzegovina,0.61926502,,8.93797779,38.6442165,13028529320,5394.26894,5,1.348677863
Brazil,0.54572374,6.32047987,9.47124863,45.8564182,5.43E+11,9928.6759,5508,12.96020234
Botswana,0.4125165,7.099999905,6.13453388,,1741386787,7296.09214,302,88.69163901
Canada,0.80008996,,10.8353834,83.5785755,,45129.4293,33,0.486454701
Switzerland,0.76610762,4.951570034,11.480999,99.6377465,,83352.0887,5,0.967094395
Chile,0.66526514,5.419660091,9.06854153,74.3718076,,14998.8171,63,0.709886782
China,0.64709884,3.667449951,5.06592178,60.0907264,1.70452E+12,8816.9869,19614,2.316096251
Cote d'Ivoire,0.36996835,3.80347991,3.30509853,,13449134231,2111.02656,10162,124.6409063
Cameroon,0.39332068,3.154819965,3.49216461,,10073207230,1469.4475,8709,382.9127011
"Congo, Dem. Rep.",0.36452875,1.454949975,4.15646648,14.0944876,5083895442,467.074232,,
"Congo, Rep.",0.41783553,4.442969799,2.51812744,,5513707790,2169.9915,,
Colombia,0.59865385,4.535510063,7.67864275,17.8672822,1.25769E+11,6376.70672,1092,6.902050977
Comoros,0.40095013,,5.26807404,,186606215,1323.81484,149,131.1821847
Costa Rica,0.60325879,7.069809914,7.04522943,31.000458,25615909361,12225.5745,33,3.194642624
Cyprus,0.75461704,5.754169941,6.59893894,76.9920746,,26608.8751,1,0.242457813
Czech Republic,0.76451671,3.806159973,7.14152622,83.6017224,,20636.2,,
Germany,0.76377279,4.882740021,11.3293514,97.0349105,,44652.5892,38,0.269260854
Dominica,0.55173725,4.766749859,5.45470619,,299719824.9,7274.51773,2,7.467052866
Denmark,0.77083182,7.752439976,10.0396338,91.3649191,,57610.0982,4,0.748478476
Dominican Republic,0.50688028,3.920269966,5.83058023,,31155812952,7609.35328,334,23.59311456
Algeria,0.53199393,6.505380154,6.27938414,18.2945773,5706735537,4109.69822,916,6.532805453
Ecuador,0.59621954,4.614260197,7.42857885,41.8109085,41158716636,6213.50313,732,6.404549509
"Egypt, Arab Rep.",0.49251235,,5.63305616,64.5817559,84722482200,2444.29039,,
Spain,0.7361564,4.207779884,8.9569416,95.6660506,,28170.1679,25,0.437914678
Estonia,0.77412528,4.956299782,6.59183788,92.9538656,,20437.7654,4,0.375558968
Ethiopia,0.38410059,5.64951992,3.45336151,6.07435669,26169980395,768.523015,23002,182.1409954
Finland,0.814484,6.363110065,9.12670135,84.0998726,,46412.1365,1,0.138198959
France,0.75596029,5.451600075,11.3327618,78.639709,,38781.0495,34,0.433955943
"Micronesia, Fed. Sts.",0.46641678,12.41641998,12.2143879,,,3289.64212,,
Gabon,0.45638788,3.326809883,2.78068829,,6499313033,7230.43491,91,55.1556195
United Kingdom,0.77698225,5.444180012,9.80787468,98.0541284,,40857.7556,106,0.266475575
Georgia,0.60905772,3.574429989,7.05804443,35.7566929,16423920740,4357.00094,43,2.797252612
Ghana,0.44349009,3.627379894,3.35796332,11.9385729,22212841568,2074.29073,4566,90.16760674
Guinea,0.3690826,2.320339918,3.91060591,,2388386754,855.575271,8107,162.5781607
"Gambia, The",0.40329286,2.459189892,4.14472675,30.8082034,660865799.8,679.755072,,
Greece,0.69480586,3.47220993,8.10309219,89.3943852,,18582.0893,15,0.230429603
Grenada,0.54119492,3.173799992,4.65701056,,561492097.2,10152.8328,2,3.901986866
Guatemala,0.45677122,2.950099945,6.13921785,,23264893724,4454.04815,2662,56.47387052
Guyana,0.49434304,4.66478014,4.31911182,,1582078488,6124.95367,28,25.38698285
"Hong Kong SAR, China",0.82171804,3.310100079,,85.9548275,,46165.8565,,
Honduras,0.48030594,4.937019825,6.98996687,48.5590408,8741578894,2436.67164,264,47.02501531
Croatia,0.72936565,3.905669928,6.75844765,71.6935387,,13629.2896,3,0.769805766
Haiti,0.44478798,1.591189981,4.78747177,,2169815133,1369.06373,3425,227.7561814
